"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2025-02-06T19:49:42+00:00","113-1510603-6139401","G24136-7-Beige-9x12-US-V1","B0DBZ767W8","X004CCZOYP","LUXRUG Area Rugs 9x12 Living Room - Large Washable Beige Boho Rugs for Bedroom Soft Abstract Rug Ultra-Thin Modern Geometric Carpet Stain Resistant Rug for Dining Room Nursery Room Home Decor","1","SDF6","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNNH4VW2K4YC",
"2025-02-06T17:06:43+00:00","114-1387904-0137011","N1338-1-Orange-6x9-US-V1","B0DBZ5DYF4","X004CCRG7N","LUXRUG 6x9 Area Rug for Living Room - Large Abstract Washable Rugs for Bedroom Non-Slip Orange Stain Resistant Dining Room Rug Rainbow Low-Pile Carpet Soft Modern Rug for Office Nursery Room","1","TUS1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNPMDE6031645",
"2025-02-06T12:31:11+00:00","111-1482258-8881857","G24267-4-Pink-9x12-US-V1","B0DBVLNWGB","X004CBBS4B","LUXRUG Area Rugs 9x12 Living Room - Large Washable Pink Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Farmhouse Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","SDF6","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNNK427VLNTN",
"2025-02-06T07:24:26+00:00","114-6328882-0149014","G24267-5-Green-3x5-US-V1","B0DBVPWW8F","X004CBBSFZ","LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Sage Green Vintage Oriental Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office Home Decor","1","IND8","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNO282119969",
"2025-02-06T05:18:29+00:00","114-6225375-1653827","G24267-2-Beige-9x12-US-V1","B0DBVN24HV","X004CBJR4J","LUXRUG Area Rugs 9x12 Living Room - Large Washable Cream Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Farmhouse Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","CVG2","SELLABLE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNNH4XFYJ8JY","Too big for washer"
"2025-02-06T05:03:01+00:00","112-0365933-4562655","G24267-5-Green-8x10-US-V1","B0DBVM69Y6","X004CBGGHP","LUXRUG Washable Area Rug 8x10 - Large Sage Green Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Distressed Oriental Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","CVG2","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNNH4DV9243Y",
"2025-02-06T02:19:50+00:00","112-5131522-1157029","G24267-1A-Cream-8x10-US-V1","B0DBYVNMF8","X004CCRXK3","LUXRUG Washable Area Rug 8x10 - Large Cream Colorful Boho Rugs for Living Room Soft Vintage Bedroom Rug Ultra-Thin Traditional Floral Carpet Stain Resistant Rug for Dining Room Guest Room Home Decor","1","TEN1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNPMDM9063801",
"2025-02-05T17:52:02+00:00","111-4310198-6458635","G24268-1A-Cream-3x5-US-V1","B0DBYY5XMP","X004CCKR6P","LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Cream Colorful Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office","1","CHA1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNNA5LKR5GH4",
"2025-02-05T17:09:48+00:00","114-0273380-7593058","G24268-7-Black-3x5-US-V1","B0DBYP9F11","X004CCTLNZ","LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Charcoal Black Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for Living Room Bedroom Bathroom Entrance Dorm Office","1","IAH1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNAC440334799","Not suitable"
"2025-02-05T15:28:34+00:00","113-3054679-0465057","G24267-1A-Cream-5x7-US-V1","B0DBYX9CK6","X004CCOSNN","LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Cream Colorful Vintage Traditional Floral Dining Room Rugs for Under Table Indoor Carpet for Living Room","1","IAH1","CUSTOMER_DAMAGED","DEFECTIVE","Unit returned to inventory","LPNAC162793969",
